Atributo,Tipo de Dado,Valores Únicos,Valores Ausentes,Estatísticas Descritivas
Unnamed: 0,int64,541607,0,"{'count': 541607.0, 'mean': 658200.65993054, 'std': 159227.03434896842, 'min': 377751.0, '25%': 519729.5, '50%': 657104.0, '75%': 796088.5, 'max': 933953.0}"
Satelite,object,1,0,{}
Pais,object,1,0,{}
Estado,object,9,0,{}
Municipio,object,542,0,{}
Bioma,object,1,0,{}
DiaSemChuva,float64,446,0,"{'count': 541607.0, 'mean': 0.604307182144987, 'std': 106.40690269478661, 'min': -999.0, '25%': 2.0, '50%': 4.0, '75%': 10.0, 'max': 731.0}"
Precipitacao,float64,4220,0,"{'count': 541607.0, 'mean': 1.2451062301631994, 'std': 4.3370538269001475, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.3, 'max': 143.0}"
RiscoFogo,float64,102,0,"{'count': 541607.0, 'mean': -2.7615536172907658, 'std': 57.35277046951321, 'min': -999.0, '25%': 0.17, '50%': 0.58, '75%': 0.9, 'max': 1.0}"
Latitude,float64,259117,0,"{'count': 541607.0, 'mean': -6.875925660506605, 'std': 3.772564612839496, 'min': -16.288, '25%': -9.573, '50%': -7.58333, '75%': -3.7304250000000003, 'max': 5.15256}"
Longitude,float64,283470,0,"{'count': 541607.0, 'mean': -57.69324204936421, 'std': 6.895390185842916, 'min': -73.67366, '25%': -62.855554999999995, '50%': -56.81915, '75%': -52.204, 'max': -43.66831}"
FRP,float64,9671,0,"{'count': 541607.0, 'mean': 60.334918307924376, 'std': 143.0870837838277, 'min': 0.0, '25%': 14.5, '50%': 26.7, '75%': 55.4, 'max': 8598.4}"
Ano,int64,7,0,"{'count': 541607.0, 'mean': 2020.6703532266015, 'std': 1.6742386088208692, 'min': 2018.0, '25%': 2019.0, '50%': 2021.0, '75%': 2022.0, 'max': 2024.0}"
Mes,int64,12,0,"{'count': 541607.0, 'mean': 8.615027132219488, 'std': 1.9503724568832044, 'min': 1.0, '25%': 8.0, '50%': 9.0, '75%': 10.0, 'max': 12.0}"
Dia,int64,31,0,"{'count': 541607.0, 'mean': 15.390126050808059, 'std': 8.796022572842205, 'min': 1.0, '25%': 8.0, '50%': 15.0, '75%': 23.0, 'max': 31.0}"
Hora,int64,5,0,"{'count': 541607.0, 'mean': 16.993993799932422, 'std': 0.6641578434819486, 'min': 15.0, '25%': 17.0, '50%': 17.0, '75%': 17.0, 'max': 19.0}"
RiscoCategoria,object,3,0,{}
RiscoCategoriaCodificado,int64,3,0,"{'count': 541607.0, 'mean': 0.9036164599054296, 'std': 0.8628258590968982, 'min': 0.0, '25%': 0.0, '50%': 1.0, '75%': 2.0, 'max': 2.0}"
